model,exposure,outcome,timepoint,n,beta,ci_low,ci_high,p
PF 1Y (ANCOVA),z_iliopsoas_voln,pf,1y,123,-0.24213137191936362,-2.10039713830506,1.616134394466333,0.7984275978906645
PF 1Y (ANCOVA),z_deep_back_voln,pf,1y,123,0.06265644609184928,-1.5396187450818413,1.6649316372655398,0.9389069545414763
PF 1Y (ANCOVA),z_glut_med_voln,pf,1y,76,-0.3364023643635323,-3.7132128161386464,3.0404080874115818,0.8451939279732186
PF 1Y (ANCOVA),z_composite_voln,pf,1y,123,0.24812946836995842,-2.0392913012163256,2.5355502379562425,0.83163243550582
PF 1Y (ANCOVA),z_iliopsoas_qual,pf,1y,123,0.347519883694275,-1.4825587736171935,2.1775985410057435,0.7097556704238739
PF 1Y (ANCOVA),z_deep_back_qual,pf,1y,123,0.24220184551310364,-2.2824002669517474,2.7668039579779546,0.8508512837001214
PF 1Y (ANCOVA),z_glut_med_qual,pf,1y,76,-0.2454223025165363,-2.896998864761768,2.4061542597286953,0.8560468447818237
Leg pain 1Y (neg. control),z_iliopsoas_voln,leg,1y,133,0.28004212955537716,-0.41044397757921663,0.970528236689971,0.42666739302412304
Leg pain 1Y (neg. control),z_deep_back_voln,leg,1y,133,0.4832368831995878,-0.07203952884702558,1.0385132952462013,0.08806666334796058
Leg pain 1Y (neg. control),z_glut_med_voln,leg,1y,83,0.7326370387727081,-0.0626999721284851,1.5279740496739014,0.07100409573063064
Leg pain 1Y (neg. control),z_composite_voln,leg,1y,133,0.6589238753058313,-0.10581407670099696,1.4236618273126596,0.0912633764305734
Leg pain 1Y (neg. control),z_iliopsoas_qual,leg,1y,133,0.017167856882240637,-0.5019115625251864,0.5362472762896677,0.9483147813918266
Leg pain 1Y (neg. control),z_deep_back_qual,leg,1y,133,-0.14957944872335746,-0.6432235102036477,0.3440646127569328,0.5525856056717815
Leg pain 1Y (neg. control),z_glut_med_qual,leg,1y,82,-0.1345296774323334,-0.8991434966624992,0.6300841417978325,0.7302108316899945
