exposure,n,or,ci_low,ci_high,p,model
z_iliopsoas_voln,140,0.8426040001946566,0.5887689844864146,1.2058744938192631,0.3490745689714434,Global PH MCID (≥5)
z_deep_back_voln,140,0.9285448107591117,0.6515838888963236,1.3232301784626574,0.681644379287514,Global PH MCID (≥5)
z_glut_med_voln,89,0.7089046642216433,0.4145875968251364,1.2121583636453148,0.20875790497069413,Global PH MCID (≥5)
z_iliopsoas_texture,140,1.1829804147188618,0.8320026189289476,1.682017135246448,0.3493974942656606,Global PH MCID (≥5)
z_deep_back_texture,140,1.0770856946558667,0.7692003584746555,1.5082072971635718,0.6655113407385814,Global PH MCID (≥5)
z_glut_med_texture,88,1.0845500029756918,0.7227223451237104,1.6275250334943379,0.6951131538578457,Global PH MCID (≥5)
z_iliopsoas_voln,120,1.2085528160284655,0.7522990129382109,1.9415151209965746,0.4335203145126012,ODI MCID (≥12.8)
z_deep_back_voln,120,1.0285221616751712,0.6667070790946346,1.586690572557744,0.8988271455413798,ODI MCID (≥12.8)
z_glut_med_voln,73,1.0403840179160835,0.5729416403810988,1.8891957373097257,0.8965109987413762,ODI MCID (≥12.8)
z_iliopsoas_texture,120,0.6608497888917235,0.45331239878561147,0.9634028203247492,0.03125396617092778,ODI MCID (≥12.8)
z_deep_back_texture,120,0.7798502146474258,0.535178846830717,1.13637966240098,0.1955190530702705,ODI MCID (≥12.8)
z_glut_med_texture,72,0.8855518698861392,0.5835868337117566,1.3437625199169048,0.567828660306665,ODI MCID (≥12.8)
z_iliopsoas_voln,123,1.049089437926781,0.640952339097204,1.717114645871694,0.8488173898183771,PROMIS-PF MCID (≥4.5)
z_deep_back_voln,123,0.9464035591753697,0.6044844940128289,1.4817248509947694,0.8096789886135576,PROMIS-PF MCID (≥4.5)
z_glut_med_voln,76,0.6695338732878023,0.36576897864855556,1.225570328943852,0.19341289785034343,PROMIS-PF MCID (≥4.5)
z_iliopsoas_texture,123,0.6970944150854715,0.4786978633548081,1.0151301285069227,0.059882829320264175,PROMIS-PF MCID (≥4.5)
z_deep_back_texture,123,0.8701617280192598,0.5933275706880955,1.2761608769188726,0.47656759344200916,PROMIS-PF MCID (≥4.5)
z_glut_med_texture,76,1.0305653474308483,0.67226185890968,1.579838155696939,0.8901404719393864,PROMIS-PF MCID (≥4.5)
