instrument,muscle,tp,n,beta,ci_low,ci_high,p,p_holm,p_fdr
odi,Iliopsoas,6w,134,-2.344072823220228,-5.019914858454905,0.33176921201444953,0.08598753447037744,1.0,0.20877026958104009
odi,Iliopsoas,3m,120,-3.048334305909055,-5.193461401168928,-0.9032072106491822,0.0053493372641401195,0.12303475707522275,0.06419204716968144
odi,Iliopsoas,6m,122,-1.238687590548585,-3.952716005705465,1.4753408246082949,0.37103774995043615,1.0,0.5565566249256543
odi,Iliopsoas,1y,118,-2.4016587361659254,-4.478929065906708,-0.3243884064251432,0.023449318364373643,0.5158850040162202,0.16289076114241482
odi,Deep back,6w,134,-2.4826227154382985,-5.397962248888215,0.4327168180116181,0.0951072222886251,1.0,0.20877026958104009
odi,Deep back,3m,120,-2.648009755674735,-5.293633507318001,-0.0023860040314689357,0.0497937391764483,0.995874783528966,0.20455385792451494
odi,Deep back,6m,122,-0.7739722726092929,-4.183517729847475,2.6355731846288895,0.6563812113594855,1.0,0.7501499558394119
odi,Deep back,1y,118,-2.276635464294061,-4.954762643893297,0.40149171530517425,0.0956863735579767,1.0,0.20877026958104009
ph,Iliopsoas,6w,155,0.9792299568468243,-0.004844125976293134,1.963304039669942,0.051138464481128736,0.995874783528966,0.20455385792451494
ph,Iliopsoas,3m,134,1.1117855583226481,0.5352247587341404,1.688346357911156,0.00015720039750056577,0.0037728095400135784,0.003772809540013579
ph,Iliopsoas,6m,136,0.2946365527333131,-0.30306020739469847,0.8923333128613247,0.3339588262690959,1.0,0.5565566249256543
ph,Iliopsoas,1y,137,0.6688556026598567,-1.039795308207102,2.377506513526815,0.4429431600227588,1.0,0.62533152003213
ph,Deep back,6w,155,0.7151249561596902,-0.31834152769061097,1.7485914400099913,0.17502571981821524,1.0,0.3500514396364305
ph,Deep back,3m,134,1.0375298875587768,0.11712489567050632,1.9579348794470475,0.02714846019040247,0.5701176639984519,0.16289076114241482
ph,Deep back,6m,136,0.03008429965915102,-0.8804010340760994,0.9405696333944015,0.9483641160865357,1.0,0.9540620273288251
ph,Deep back,1y,137,0.8978995957907786,-0.9924555597285275,2.7882547513100846,0.3518726592802184,1.0,0.5565566249256543
pf,Iliopsoas,6w,125,0.49295013862534476,-1.1018135290444209,2.0877138062951106,0.5446239628533823,1.0,0.7261652838045097
pf,Iliopsoas,3m,101,1.3659140695345386,-0.18261801571070957,2.914446154779787,0.08384025850261617,1.0,0.20877026958104009
pf,Iliopsoas,6m,105,0.23671320422658326,-0.7228358841846289,1.1962622926377953,0.6287353069892525,1.0,0.7501499558394119
pf,Iliopsoas,1y,121,0.4789025682741325,-0.4780939320528241,1.435899068601089,0.3266864210123209,1.0,0.5565566249256543
pf,Deep back,6w,125,0.2099021946207596,-1.2953383998527335,1.7151427890942526,0.7846131750128112,1.0,0.8559416454685214
pf,Deep back,3m,101,1.2423946446266603,-0.1365675417274992,2.6213568309808197,0.07741999754176834,1.0,0.20877026958104009
pf,Deep back,6m,105,-0.04137198142640424,-1.4489824869569732,1.3662385241041648,0.9540620273288251,1.0,0.9540620273288251
pf,Deep back,1y,121,0.31187319938391567,-1.0216009875984038,1.6453473863662351,0.6466674234768377,1.0,0.7501499558394119
