outcome,tp,analysis,exposure,n,beta,ci_low,ci_high,p
odi,3m,muscle / cord (primary),z_iliopsoas_rcord,120,-3.048334305909055,-5.193461401168928,-0.9032072106491822,0.0053493372641401195
odi,3m,muscle / vertebral marrow,z_iliopsoas_rvert,122,0.536494049530554,-7.608036249295124,8.681024348356232,0.8972736494707326
odi,3m,muscle / disc,z_iliopsoas_rdisc,122,-1.0661824188536824,-4.562497716966018,2.430132879258653,0.5500532028929086
odi,3m,raw muscle intensity (no reference),z_iliopsoas_qual,122,-4.381895597115362,-8.279352163995597,-0.4844390302351269,0.027553891263373327
odi,3m,decomposition: muscle numerator,z_iliopsoas_qual,120,-9.122504192197564,-13.583121057137083,-4.661887327258045,6.114062284678585e-05
odi,3m,decomposition: canal denominator,z_cord_qual,120,5.351303518934692,-0.12797759940226694,10.830584637271652,0.055596418177605716
odi,3m,muscle / cord (drop top-3 influential),z_iliopsoas_rcord,117,-3.7100934198262525,-6.096565748257017,-1.3236210913954878,0.002311157044118
odi,1y,muscle / cord (primary),z_iliopsoas_rcord,118,-2.4016587361659254,-4.478929065906708,-0.3243884064251432,0.023449318364373643
odi,1y,muscle / vertebral marrow,z_iliopsoas_rvert,120,-0.5075794597850636,-20.523897175366123,19.508738255795997,0.9603604026238998
odi,1y,muscle / disc,z_iliopsoas_rdisc,120,-4.569400017307217,-8.294386682156874,-0.8444133524575599,0.01620496904158482
odi,1y,raw muscle intensity (no reference),z_iliopsoas_qual,120,-0.9587385682202059,-4.432645346209848,2.5151682097694366,0.588565223095422
odi,1y,decomposition: muscle numerator,z_iliopsoas_qual,118,-2.6111864408814895,-9.448365751050591,4.225992869287613,0.4541407525875213
odi,1y,decomposition: canal denominator,z_cord_qual,118,2.0303742479487754,-3.968905943366072,8.029654439263624,0.5071237233671222
odi,1y,muscle / cord (drop top-3 influential),z_iliopsoas_rcord,115,-1.9283733603913875,-3.7224604022185224,-0.13428631856425288,0.03514653346773742
ph,3m,muscle / cord (primary),z_iliopsoas_rcord,134,1.1117855583226481,0.5352247587341404,1.688346357911156,0.00015720039750056577
ph,3m,muscle / vertebral marrow,z_iliopsoas_rvert,136,0.6440213385624832,-2.9932892669621047,4.281331944087071,0.728568217176014
ph,3m,muscle / disc,z_iliopsoas_rdisc,136,0.5243259123007216,-0.818698952314252,1.8673507769156952,0.4441625327470642
ph,3m,raw muscle intensity (no reference),z_iliopsoas_qual,136,0.7352714507592859,-0.982114702252415,2.452657603770987,0.4013978920815965
ph,3m,decomposition: muscle numerator,z_iliopsoas_qual,134,2.6077338123374085,0.1577149321446658,5.057752692530151,0.036966609844522026
ph,3m,decomposition: canal denominator,z_cord_qual,134,-2.008412628722036,-4.5424615846426075,0.5256363271985354,0.12032526910748977
ph,3m,muscle / cord (drop top-3 influential),z_iliopsoas_rcord,131,1.1636836472579366,0.5791009769853315,1.7482663175305417,9.557903763686854e-05
