analysis,family,variant,model,outcome,tp,exposure,n,beta,or,estimate,ci_low,ci_high,p,p_holm,p_fdr,label
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,6w,z_iliopsoas_rcord,134,-2.344072823220228,,,-5.019914858454905,0.33176921201444953,0.08598753447037744,0.4299376723518872,0.1275818314106356,Iliopsoas — 6W
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,3m,z_iliopsoas_rcord,120,-3.048334305909055,,,-5.193461401168928,-0.9032072106491822,0.0053493372641401195,0.042794698113120956,0.042794698113120956,Iliopsoas — 3M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,6m,z_iliopsoas_rcord,122,-1.238687590548585,,,-3.952716005705465,1.4753408246082949,0.37103774995043615,0.7420754999008723,0.42404314280049843,Iliopsoas — 6M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,1y,z_iliopsoas_rcord,118,-2.4016587361659254,,,-4.478929065906708,-0.3243884064251432,0.023449318364373643,0.1641452285506155,0.09379727345749457,Iliopsoas — 1Y
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,6w,z_deep_back_rcord,134,-2.4826227154382985,,,-5.397962248888215,0.4327168180116181,0.0951072222886251,0.4299376723518872,0.1275818314106356,Deep back — 6W
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,3m,z_deep_back_rcord,120,-2.648009755674735,,,-5.293633507318001,-0.0023860040314689357,0.0497937391764483,0.29876243505868977,0.1275818314106356,Deep back — 3M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,6m,z_deep_back_rcord,122,-0.7739722726092929,,,-4.183517729847475,2.6355731846288895,0.6563812113594855,0.7420754999008723,0.6563812113594855,Deep back — 6M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (odi),,Δ Oswestry Disability Index,odi,1y,z_deep_back_rcord,118,-2.276635464294061,,,-4.954762643893297,0.40149171530517425,0.0956863735579767,0.4299376723518872,0.1275818314106356,Deep back — 1Y
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,6w,z_iliopsoas_rcord,155,0.9792299568468243,,,-0.004844125976293134,1.963304039669942,0.051138464481128736,0.3068307868867724,0.13636923861634329,Iliopsoas — 6W
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,3m,z_iliopsoas_rcord,134,1.1117855583226481,,,0.5352247587341404,1.688346357911156,0.00015720039750056577,0.0012576031800045262,0.0012576031800045262,Iliopsoas — 3M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,6m,z_iliopsoas_rcord,136,0.2946365527333131,,,-0.30306020739469847,0.8923333128613247,0.3339588262690959,1.0,0.46916354570695784,Iliopsoas — 6M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,1y,z_iliopsoas_rcord,137,0.6688556026598567,,,-1.039795308207102,2.377506513526815,0.4429431600227588,1.0,0.5062207543117243,Iliopsoas — 1Y
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,6w,z_deep_back_rcord,155,0.7151249561596902,,,-0.31834152769061097,1.7485914400099913,0.17502571981821524,0.8751285990910762,0.3500514396364305,Deep back — 6W
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,3m,z_deep_back_rcord,134,1.0375298875587768,,,0.11712489567050632,1.9579348794470475,0.02714846019040247,0.1900392213328173,0.10859384076160988,Deep back — 3M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,6m,z_deep_back_rcord,136,0.03008429965915102,,,-0.8804010340760994,0.9405696333944015,0.9483641160865357,1.0,0.9483641160865357,Deep back — 6M
Primary Δ ANCOVA (per SD),iliopsoas+deep-back x 4 timepoints (ph),,Δ PROMIS Global Physical Health,ph,1y,z_deep_back_rcord,137,0.8978995957907786,,,-0.9924555597285275,2.7882547513100846,0.3518726592802184,1.0,0.46916354570695784,Deep back — 1Y
MCID logistic (per SD),texture x 3 instruments (exploratory),,Global PH MCID (≥5),,,z_iliopsoas_texture,140,,1.1829804147188618,,0.8320026189289476,1.682017135246448,0.3493974942656606,1.0,0.7820022980900764,
MCID logistic (per SD),texture x 3 instruments (exploratory),,Global PH MCID (≥5),,,z_deep_back_texture,140,,1.0770856946558667,,0.7692003584746555,1.5082072971635718,0.6655113407385814,1.0,0.7820022980900764,
MCID logistic (per SD),texture x 3 instruments (exploratory),,Global PH MCID (≥5),,,z_glut_med_texture,88,,1.0845500029756918,,0.7227223451237104,1.6275250334943379,0.6951131538578457,1.0,0.7820022980900764,
MCID logistic (per SD),texture x 3 instruments (exploratory),,ODI MCID (≥12.8),,,z_iliopsoas_texture,120,,0.6608497888917235,,0.45331239878561147,0.9634028203247492,0.03125396617092778,0.28128569553835003,0.2694727319411888,
MCID logistic (per SD),texture x 3 instruments (exploratory),,ODI MCID (≥12.8),,,z_deep_back_texture,120,,0.7798502146474258,,0.535178846830717,1.13637966240098,0.1955190530702705,1.0,0.5865571592108115,
MCID logistic (per SD),texture x 3 instruments (exploratory),,ODI MCID (≥12.8),,,z_glut_med_texture,72,,0.8855518698861392,,0.5835868337117566,1.3437625199169048,0.567828660306665,1.0,0.7820022980900764,
MCID logistic (per SD),texture x 3 instruments (exploratory),,PROMIS-PF MCID (≥4.5),,,z_iliopsoas_texture,123,,0.6970944150854715,,0.4786978633548081,1.0151301285069227,0.059882829320264175,0.4790626345621134,0.2694727319411888,
MCID logistic (per SD),texture x 3 instruments (exploratory),,PROMIS-PF MCID (≥4.5),,,z_deep_back_texture,123,,0.8701617280192598,,0.5933275706880955,1.2761608769188726,0.47656759344200916,1.0,0.7820022980900764,
MCID logistic (per SD),texture x 3 instruments (exploratory),,PROMIS-PF MCID (≥4.5),,,z_glut_med_texture,76,,1.0305653474308483,,0.67226185890968,1.579838155696939,0.8901404719393864,1.0,0.8901404719393864,
MCID logistic (per SD),volume x 3 instruments (exploratory),,Global PH MCID (≥5),,,z_iliopsoas_voln,140,,0.8426040001946566,,0.5887689844864146,1.2058744938192631,0.3490745689714434,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,Global PH MCID (≥5),,,z_deep_back_voln,140,,0.9285448107591117,,0.6515838888963236,1.3232301784626574,0.681644379287514,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,Global PH MCID (≥5),,,z_glut_med_voln,89,,0.7089046642216433,,0.4145875968251364,1.2121583636453148,0.20875790497069413,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,ODI MCID (≥12.8),,,z_iliopsoas_voln,120,,1.2085528160284655,,0.7522990129382109,1.9415151209965746,0.4335203145126012,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,ODI MCID (≥12.8),,,z_deep_back_voln,120,,1.0285221616751712,,0.6667070790946346,1.586690572557744,0.8988271455413798,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,ODI MCID (≥12.8),,,z_glut_med_voln,73,,1.0403840179160835,,0.5729416403810988,1.8891957373097257,0.8965109987413762,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,PROMIS-PF MCID (≥4.5),,,z_iliopsoas_voln,123,,1.049089437926781,,0.640952339097204,1.717114645871694,0.8488173898183771,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,PROMIS-PF MCID (≥4.5),,,z_deep_back_voln,123,,0.9464035591753697,,0.6044844940128289,1.4817248509947694,0.8096789886135576,1.0,0.8988271455413798,
MCID logistic (per SD),volume x 3 instruments (exploratory),,PROMIS-PF MCID (≥4.5),,,z_glut_med_voln,76,,0.6695338732878023,,0.36576897864855556,1.225570328943852,0.19341289785034343,1.0,0.8988271455413798,
ODI-MCID heterogeneity sensitivity,exposure definition,consolidated texture z(cv+spread),,,,z_iliopsoas_texture,120,,,0.6608497888917235,0.45331239878561147,0.9634028203247492,0.03125396617092778,,,
ODI-MCID heterogeneity sensitivity,exposure definition,CV alone,,,,z_iliopsoas_cv,120,,,0.6724711590573479,0.4654991568701073,0.9714678385338504,0.034498247012689644,,,
ODI-MCID heterogeneity sensitivity,exposure definition,normalized spread alone,,,,z_iliopsoas_spread,120,,,0.6496612956588645,0.43641129052637895,0.9671147567426264,0.03361277752922783,,,
