exposure,outcome,tp,n,beta,ci_low,ci_high,p,model,label
z_iliopsoas_rcord,ph,6w,155,0.9792299568468243,-0.004844125976293134,1.963304039669942,0.051138464481128736,Δ PROMIS Global Physical Health,Iliopsoas — 6W
z_iliopsoas_rcord,ph,3m,134,1.1117855583226481,0.5352247587341404,1.688346357911156,0.00015720039750056577,Δ PROMIS Global Physical Health,Iliopsoas — 3M
z_iliopsoas_rcord,ph,6m,136,0.2946365527333131,-0.30306020739469847,0.8923333128613247,0.3339588262690959,Δ PROMIS Global Physical Health,Iliopsoas — 6M
z_iliopsoas_rcord,ph,1y,137,0.6688556026598567,-1.039795308207102,2.377506513526815,0.4429431600227588,Δ PROMIS Global Physical Health,Iliopsoas — 1Y
z_deep_back_rcord,ph,6w,155,0.7151249561596902,-0.31834152769061097,1.7485914400099913,0.17502571981821524,Δ PROMIS Global Physical Health,Deep back — 6W
z_deep_back_rcord,ph,3m,134,1.0375298875587768,0.11712489567050632,1.9579348794470475,0.02714846019040247,Δ PROMIS Global Physical Health,Deep back — 3M
z_deep_back_rcord,ph,6m,136,0.03008429965915102,-0.8804010340760994,0.9405696333944015,0.9483641160865357,Δ PROMIS Global Physical Health,Deep back — 6M
z_deep_back_rcord,ph,1y,137,0.8978995957907786,-0.9924555597285275,2.7882547513100846,0.3518726592802184,Δ PROMIS Global Physical Health,Deep back — 1Y
z_iliopsoas_rcord,odi,6w,134,-2.344072823220228,-5.019914858454905,0.33176921201444953,0.08598753447037744,Δ Oswestry Disability Index,Iliopsoas — 6W
z_iliopsoas_rcord,odi,3m,120,-3.048334305909055,-5.193461401168928,-0.9032072106491822,0.0053493372641401195,Δ Oswestry Disability Index,Iliopsoas — 3M
z_iliopsoas_rcord,odi,6m,122,-1.238687590548585,-3.952716005705465,1.4753408246082949,0.37103774995043615,Δ Oswestry Disability Index,Iliopsoas — 6M
z_iliopsoas_rcord,odi,1y,118,-2.4016587361659254,-4.478929065906708,-0.3243884064251432,0.023449318364373643,Δ Oswestry Disability Index,Iliopsoas — 1Y
z_deep_back_rcord,odi,6w,134,-2.4826227154382985,-5.397962248888215,0.4327168180116181,0.0951072222886251,Δ Oswestry Disability Index,Deep back — 6W
z_deep_back_rcord,odi,3m,120,-2.648009755674735,-5.293633507318001,-0.0023860040314689357,0.0497937391764483,Δ Oswestry Disability Index,Deep back — 3M
z_deep_back_rcord,odi,6m,122,-0.7739722726092929,-4.183517729847475,2.6355731846288895,0.6563812113594855,Δ Oswestry Disability Index,Deep back — 6M
z_deep_back_rcord,odi,1y,118,-2.276635464294061,-4.954762643893297,0.40149171530517425,0.0956863735579767,Δ Oswestry Disability Index,Deep back — 1Y
